Date,Time,Chamber,runNum,Replicate,SMRstart.sec,SMRend.sec,aveSMR,aveCO2ppm,aveAjdCO2ppm,aveFRC_mlmin,aveWVppt,aveTempC,aveRH_pct,aveLight_Lux,aveActivity,flyID,Genotype,Host,Infected,Sex,Age_days,Weight_mg,Notes
3/5/19,11:14:18,7,9,1,40547,40566,2.260930852,1.82356,1.857729401,29.6125,15.63087,23.36,7.6645,7.953,-8.57E-15,7,R84,DSim,U,F,4,1.012,NA
3/5/19,11:19:20,8,10,1,40825,40844,1.983165906,1.51441,1.633380237,29.5425,15.702925,23.3625,7.78,8.38,3.43E-14,8,R84,DSim,U,F,4,0.804,NA
3/5/19,11:29:23,9,12,1,41368,41387,1.353408215,0.871435,1.057128373,31.1535,15.5696,23.3845,7.56,8.901,-4.28E-15,9,R84,DSim,I,F,4,0.735,NA
3/5/19,11:34:23,10,13,1,41725,41744,1.631826012,1.051115,1.329286863,29.8745,15.74559,23.41,7.56,8.752,6.86E-14,10,R84,DSim,I,F,4,0.88,NA
3/5/19,11:44:26,11,15,1,42266,42285,1.874454926,1.176155,1.499846919,30.418,17.768595,23.45,7.66,8.8175,0,11,R84,DSim,I,F,4,1.061,NA
3/5/19,11:49:28,12,16,1,42679,42698,1.653888576,0.988445,1.366901488,29.45,15.954825,23.46,7.729,9.062,0,12,R84,DSim,I,F,4,0.869,NA
3/5/19,11:59:31,13,18,1,43259,43278,0.825403893,0.239805,0.666429123,30.1465,15.711055,23.47,7.766,8.7215,0,13,R84,DSim,U,M,4,0.327,NA
3/5/19,12:04:32,14,19,1,43511,43530,0.940301622,0.28366,0.756875122,30.2395,15.76495,23.47,7.7055,9.8355,2.14E-15,14,R84,DSim,U,M,4,0.423,NA
3/5/19,12:14:35,15,21,1,44117,44136,0.982173518,0.298345,0.819666734,29.1655,15.656365,23.46,7.48,8.7735,0.042363636,15,R84,DSim,U,M,4,0.352,NA
3/5/19,12:19:37,16,22,1,44412,44431,0.804749717,0.114705,0.676829769,28.9395,15.73744,23.456,7.528,9.616,3.43E-14,16,R84,DSim,U,M,4,0.321,NA
3/5/19,12:29:41,1,24,1,44995,45014,1.173958212,0.37197,0.972579074,29.3765,15.58886,23.43,7.9495,9.525,-1.71E-14,1,R84,DSim,I,M,4,0.589,NA
3/5/19,12:34:41,2,25,1,45430,45449,0.958186662,0.964915,1.625129923,14.349,15.77094,23.42,7.86,8.146,4.28E-15,2,R84,DSim,I,M,4,0.502,bad flow
3/5/19,12:44:44,3,27,1,45989,46008,1.182203029,0.295175,0.977399194,29.433,15.68959,23.39,7.666,8.683,0.9249,3,R84,DSim,I,M,4,0.336,NA
3/5/19,12:49:47,4,28,1,46212,46231,1.229961773,0.31378,1.014115616,29.513,15.71352,23.39,7.7,8.752,1.537481818,4,R84,DSim,I,M,4,0.42,NA
3/5/19,12:59:49,5,30,1,46866,46885,1.595390519,0.5561,1.28047868,30.3095,15.6286,23.3,7.66,7.8955,1.219327273,5,R84,DSim,U,F,4,0.766,NA
3/5/19,13:04:50,6,31,1,47126,47145,1.181032924,1.0491,1.788950833,16.0595,15.691795,23.29,7.747,7.5035,0,6,R84,DSim,U,F,4,0.759,bad flow
3/5/19,13:14:54,7,33,2,47694,47713,1.96407759,0.840715,1.608580431,29.7,15.56819,23.27,7.992,9.1125,-8.57E-15,7,R84,DSim,U,F,4,1.012,NA
3/5/19,13:19:55,8,34,2,48076,48095,1.732130025,0.59697,1.423638798,29.596,15.76052,23.28,8,9.5355,-6.86E-14,8,R84,DSim,U,F,4,0.804,NA
