Genotype,Sex,Infected,Group,n,min_weight,max_weight,log10_range,slope,SE,df_resid,ci_lower,ci_upper,sig_nonzero,includes_100
CSBerk,F,U,F_U,118,0.469,1.341,0.456,0.669,0.067,425.105,0.538,0.8,TRUE,FALSE
CSBerk,F,I,F_I,116,0.585,1.343,0.361,0.75,0.08,440.77,0.593,0.907,TRUE,FALSE
CSBerk,M,U,M_U,110,0.339,0.823,0.385,0.598,0.081,441.17,0.439,0.757,TRUE,FALSE
CSBerk,M,I,M_I,116,0.362,0.811,0.35,0.789,0.108,449.001,0.578,1.001,TRUE,TRUE
FFD25,F,U,F_U,85,0.62,1.323,0.329,0.488,0.078,331.552,0.335,0.641,TRUE,FALSE
FFD25,F,I,F_I,85,0.521,1.482,0.454,0.566,0.082,316.091,0.405,0.727,TRUE,FALSE
FFD25,M,U,M_U,86,0.37,0.798,0.334,0.519,0.084,310.743,0.354,0.685,TRUE,FALSE
FFD25,M,I,M_I,86,0.371,0.78,0.323,0.626,0.099,330.757,0.432,0.821,TRUE,FALSE
PC75,F,U,F_U,42,0.577,1.021,0.248,0.413,0.144,144.219,0.129,0.697,TRUE,FALSE
PC75,F,I,F_I,41,0.546,0.936,0.234,0.425,0.169,153.404,0.092,0.759,TRUE,FALSE
PC75,M,U,M_U,40,0.356,0.645,0.258,0.639,0.199,138.13,0.246,1.033,TRUE,TRUE
PC75,M,I,M_I,38,0.339,0.676,0.3,0.309,0.146,154.545,0.019,0.598,TRUE,FALSE
yakB13L5,F,U,F_U,43,0.373,1.088,0.465,0.38,0.097,161.831,0.189,0.57,TRUE,FALSE
yakB13L5,F,I,F_I,40,0.288,0.863,0.477,0.523,0.092,159.597,0.342,0.704,TRUE,FALSE
yakB13L5,M,U,M_U,42,0.218,0.518,0.376,0.524,0.12,163.701,0.286,0.762,TRUE,FALSE
yakB13L5,M,I,M_I,39,0.252,0.512,0.308,0.637,0.118,147.217,0.405,0.87,TRUE,FALSE
san,F,U,F_U,51,0.633,1.047,0.219,0.534,0.144,181.06,0.25,0.819,TRUE,FALSE
san,F,I,F_I,53,0.683,1.107,0.21,0.487,0.142,176.863,0.207,0.766,TRUE,FALSE
san,M,U,M_U,51,0.362,0.647,0.252,0.078,0.142,173.003,-0.202,0.358,FALSE,FALSE
san,M,I,M_I,53,0.452,0.704,0.192,-0.037,0.205,241.954,-0.441,0.366,FALSE,FALSE
teiB13L11,F,U,F_U,97,0.26,1.109,0.63,0.334,0.106,335.294,0.124,0.543,TRUE,FALSE
teiB13L11,F,I,F_I,91,0.436,0.975,0.35,0.426,0.145,329.1,0.14,0.711,TRUE,FALSE
teiB13L11,M,U,M_U,80,0.298,0.64,0.332,0.128,0.18,332.914,-0.225,0.482,FALSE,FALSE
teiB13L11,M,I,M_I,78,0.287,0.635,0.345,0.47,0.176,350.781,0.123,0.817,TRUE,FALSE
R84,F,U,F_U,32,0.625,1.134,0.259,0.564,0.159,112.418,0.25,0.879,TRUE,FALSE
R84,F,I,F_I,33,0.721,1.284,0.251,0.59,0.179,115.766,0.236,0.944,TRUE,FALSE
R84,M,U,M_U,31,0.321,0.714,0.347,0.711,0.129,118.79,0.456,0.966,TRUE,FALSE
R84,M,I,M_I,33,0.336,0.774,0.362,0.509,0.128,133.06,0.257,0.762,TRUE,FALSE
suz,F,U,F_U,42,0.895,1.902,0.327,0.533,0.137,155.191,0.263,0.803,TRUE,FALSE
suz,F,I,F_I,46,0.682,1.972,0.461,0.696,0.101,163.989,0.496,0.896,TRUE,FALSE
suz,M,U,M_U,31,0.673,1.119,0.221,0.243,0.243,146.189,-0.237,0.722,FALSE,FALSE
suz,M,I,M_I,43,0.645,1.193,0.267,0.544,0.151,153.522,0.246,0.842,TRUE,FALSE
auraL2,F,U,F_U,45,0.508,1.414,0.445,0.89,0.075,174.036,0.743,1.037,TRUE,TRUE
auraL2,F,I,F_I,43,0.741,1.319,0.25,0.819,0.137,165.341,0.548,1.09,TRUE,TRUE
auraL2,M,U,M_U,50,0.326,0.737,0.354,0.466,0.109,177.443,0.251,0.681,TRUE,FALSE
auraL2,M,I,M_I,44,0.419,0.828,0.296,0.407,0.13,174.466,0.151,0.664,TRUE,FALSE
Car5,F,U,F_U,87,0.524,1.45,0.442,0.361,0.057,345.756,0.248,0.473,TRUE,FALSE
Car5,F,I,F_I,88,0.569,1.318,0.365,0.443,0.061,338.743,0.322,0.564,TRUE,FALSE
Car5,M,U,M_U,87,0.297,0.744,0.399,0.327,0.077,353.817,0.176,0.479,TRUE,FALSE
Car5,M,I,M_I,92,0.325,0.754,0.365,0.312,0.075,340.441,0.164,0.46,TRUE,FALSE
sech,F,U,F_U,52,0.504,1.052,0.32,0.447,0.102,225.495,0.246,0.649,TRUE,FALSE
sech,F,I,F_I,51,0.525,0.99,0.275,0.608,0.122,190.771,0.368,0.848,TRUE,FALSE
sech,M,U,M_U,52,0.436,0.737,0.228,0.378,0.121,181.891,0.138,0.617,TRUE,FALSE
sech,M,I,M_I,55,0.396,0.649,0.215,0.471,0.157,235.302,0.162,0.781,TRUE,FALSE
mau31,F,U,F_U,37,0.522,1.043,0.301,0.81,0.175,137.816,0.465,1.155,TRUE,TRUE
mau31,F,I,F_I,39,0.686,1.04,0.181,0.269,0.263,135.997,-0.251,0.788,FALSE,FALSE
mau31,M,U,M_U,34,0.309,0.666,0.334,0.764,0.169,135.508,0.43,1.098,TRUE,TRUE
mau31,M,I,M_I,36,0.431,0.655,0.182,0.631,0.226,130.904,0.184,1.079,TRUE,TRUE
sim198,F,U,F_U,57,0.458,0.943,0.314,0.735,0.125,221.322,0.488,0.982,TRUE,FALSE
sim198,F,I,F_I,60,0.52,1.054,0.307,0.793,0.12,228.74,0.556,1.03,TRUE,TRUE
sim198,M,U,M_U,62,0.413,0.774,0.273,-0.355,0.187,226.994,-0.724,0.013,FALSE,FALSE
sim198,M,I,M_I,59,0.328,0.64,0.29,0.682,0.154,219.475,0.378,0.986,TRUE,FALSE
