Genotype,n,Sex_F_value,Sex_num_df,Sex_den_df,Sex_p.value,Sex_significance,Infected_F_value,Infected_num_df,Infected_den_df,Infected_p.value,Infected_significance,Sex:Infected_F_value,Sex:Infected_num_df,Sex:Infected_den_df,Sex:Infected_p.value,Sex:Infected_significance,log_Weight_F_value,log_Weight_num_df,log_Weight_den_df,log_Weight_p.value,log_Weight_significance,aveTempC_F_value,aveTempC_num_df,aveTempC_den_df,aveTempC_p.value,aveTempC_significance,aveLight_Lux_F_value,aveLight_Lux_num_df,aveLight_Lux_den_df,aveLight_Lux_p.value,aveLight_Lux_significance,SMRstart.sec_F_value,SMRstart.sec_num_df,SMRstart.sec_den_df,SMRstart.sec_p.value,SMRstart.sec_significance,aveFRC_mlmin_F_value,aveFRC_mlmin_num_df,aveFRC_mlmin_den_df,aveFRC_mlmin_p.value,aveFRC_mlmin_significance,aveWVppt_F_value,aveWVppt_num_df,aveWVppt_den_df,aveWVppt_p.value,aveWVppt_significance,aveActivity_F_value,aveActivity_num_df,aveActivity_den_df,aveActivity_p.value,aveActivity_significance
CSBerk,460,0.608,1,437.9,0.4359,ns,0.131,1,449.7,0.7179,ns,1.92,1,449.9,0.1665,ns,282.088,1,439.7,0,***,1.614,1,745.6,0.2044,ns,8.433,1,778.3,0.0038,**,765.526,1,456.9,0,***,7.918,1,455.5,0.0051,**,14.512,1,504.9,2e-4,***,144.739,1,633.5,0,***
FFD25,342,35.96,1,327.8,0,***,7.277,1,329.6,0.0073,**,0.002,1,329.5,0.9674,ns,139.832,1,326.1,0,***,45.5,1,466.2,0,***,0.957,1,555.1,0.3284,ns,865.827,1,298.3,0,***,26.178,1,378.2,0,***,5.64,1,457.9,0.018,*,54.583,1,481.5,0,***
PC75,161,1.53,1,153.8,0.218,ns,3.037,1,152.7,0.0834,ns,0.404,1,152.6,0.5258,ns,27.083,1,154.3,0,***,17.74,1,168.9,0,***,0.062,1,212.4,0.8038,ns,218.883,1,170.5,0,***,24.623,1,165.8,0,***,37.504,1,184.1,0,***,80.62,1,203.7,0,***
yakB13L5,164,5.229,1,163.3,0.0235,*,0.213,1,160.7,0.645,ns,0.441,1,155.4,0.5077,ns,92.136,1,163,0,***,13.827,1,330.6,2e-4,***,3.726,1,313.8,0.0545,ns,9.105,1,248.6,0.0028,**,3.197,1,156.6,0.0757,ns,0.518,1,184.3,0.4727,ns,71.04,1,325.2,0,***
san,208,0.27,1,191.5,0.604,ns,0.186,1,193.9,0.6664,ns,9.462,1,193.8,0.0024,**,15.816,1,190.1,1e-4,***,24.112,1,279.3,0,***,0.824,1,301.4,0.3646,ns,26.204,1,163.7,0,***,0.494,1,201.4,0.483,ns,4.653,1,251,0.0319,*,80.466,1,316.4,0,***
teiB13L11,346,0.16,1,343.9,0.6895,ns,0.098,1,338.7,0.7547,ns,0.426,1,336.7,0.5145,ns,22.277,1,346.8,0,***,4.61,1,417,0.0324,*,8.962,1,428.3,0.0029,**,23.361,1,326.3,0,***,0.175,1,424.2,0.6763,ns,4.448,1,380,0.0356,*,59.74,1,396.3,0,***
R84,129,0.526,1,122.5,0.4698,ns,2.576,1,122.4,0.1111,ns,1.487,1,120.5,0.2251,ns,51.688,1,122.7,0,***,2.638,1,186.4,0.106,ns,0.021,1,158.5,0.8838,ns,40.081,1,139.7,0,***,6.084,1,128.1,0.015,*,2.3,1,179.1,0.1311,ns,70.655,1,197.7,0,***
suz,162,0.377,1,164.9,0.54,ns,3.341,1,153.9,0.0695,ns,0.803,1,152.5,0.3716,ns,69.547,1,164.5,0,***,22.338,1,265.6,0,***,4.671,1,259.2,0.0316,*,113.233,1,131.4,0,***,0.022,1,157.6,0.8819,ns,2.518,1,177.7,0.1143,ns,8.294,1,180.5,0.0045,**
auraL2,182,10.986,1,177.8,0.0011,**,1.163,1,174.1,0.2823,ns,0.095,1,173.4,0.7586,ns,157.954,1,178,0,***,29.676,1,328.2,0,***,10.726,1,306.3,0.0012,**,197.932,1,237.8,0,***,1.945,1,182.2,0.1648,ns,0.18,1,216.5,0.6716,ns,35.279,1,348.2,0,***
Car5,354,32.319,1,346.1,0,***,4.788,1,344,0.0293,*,0.212,1,344,0.6454,ns,117.552,1,348.7,0,***,21.338,1,610.6,0,***,4.137,1,607.9,0.0424,*,568.01,1,438.5,0,***,113.803,1,365.4,0,***,1.035,1,393.4,0.3097,ns,136.044,1,615.3,0,***
sech,210,0.524,1,212.3,0.47,ns,0.001,1,197.7,0.97,ns,0.009,1,199.9,0.9233,ns,59.01,1,213.2,0,***,30.049,1,256.4,0,***,37.064,1,352.9,0,***,412.464,1,290.7,0,***,9.689,1,230.9,0.0021,**,0.114,1,233.8,0.7355,ns,9.842,1,348.5,0.0019,**
sim198,238,0.113,1,226.7,0.737,ns,5.796,1,228.7,0.0169,*,0,1,231.4,0.9894,ns,59.644,1,225.4,0,***,26.746,1,258.8,0,***,6.594,1,277.4,0.0108,*,201.533,1,231.8,0,***,131.023,1,240.8,0,***,24.034,1,299,0,***,70.503,1,264.1,0,***
mau31,146,1.769,1,138.9,0.1857,ns,0.026,1,137.9,0.8731,ns,0.462,1,140.5,0.4977,ns,46.056,1,138.8,0,***,3.6,1,194,0.0593,ns,9.232,1,251.9,0.0026,**,556.934,1,176.9,0,***,0.006,1,190.7,0.936,ns,1.101,1,171.3,0.2954,ns,2.212,1,244.3,0.1382,ns
