Genotype,n,SexM_estimate,SexM_statistic,SexM_p.value,SexM_significance,InfectedI_estimate,InfectedI_statistic,InfectedI_p.value,InfectedI_significance,SexM:InfectedI_estimate,SexM:InfectedI_statistic,SexM:InfectedI_p.value,SexM:InfectedI_significance,aveTempC_estimate,aveTempC_statistic,aveTempC_p.value,aveTempC_significance,aveLight_Lux_estimate,aveLight_Lux_statistic,aveLight_Lux_p.value,aveLight_Lux_significance,SMRstart.sec_estimate,SMRstart.sec_statistic,SMRstart.sec_p.value,SMRstart.sec_significance,aveFRC_mlmin_estimate,aveFRC_mlmin_statistic,aveFRC_mlmin_p.value,aveFRC_mlmin_significance,aveWVppt_estimate,aveWVppt_statistic,aveWVppt_p.value,aveWVppt_significance,aveActivity_estimate,aveActivity_statistic,aveActivity_p.value,aveActivity_significance
CSBerk,460,-0.138,-13.557,2.8093708623897546e-35,***,0.019,1.916,0.05603114300357818,ns,0.01,0.684,0.4943432545290556,ns,0.005,0.496,0.6198254241979126,ns,0.002,2.358,0.018608788878751763,*,-0.12,-27.553,1.6130183464330316e-96,***,-0.004,-3.25,0.0012409300136431798,**,-0.003,-6.223,1.0125955994486823e-9,***,0.043,10.29,9.179636096213715e-23,***
FFD25,342,-0.173,-18.118,4.93024574405873e-52,***,0.019,1.977,0.04886804717744222,*,0.006,0.467,0.6408822047702281,ns,0.034,5.988,4.129502575151514e-9,***,0,0.688,0.49202796380796077,ns,-0.13,-28.981,1.655398848335277e-87,***,-0.016,-8.805,4.199744949602755e-17,***,-0.004,-1.432,0.15268135965370427,ns,0.026,7.012,9.06552798179313e-12,***
PC75,161,-0.095,-6.839,1.7209604925699208e-10,***,-0.03,-2.177,0.030991144027691868,*,0.011,0.558,0.5779120992076154,ns,0.038,4.525,1.1389316698894821e-5,***,-0.001,-0.506,0.6132205836765441,ns,-0.116,-15.184,2.2557226847308186e-33,***,0.014,4.31,2.7810370834344504e-5,***,-0.011,-5.108,8.170662043430764e-7,***,0.052,9.334,2.1977755177171888e-17,***
yakB13L5,164,-0.088,-5.093,9.440411696046979e-7,***,-0.018,-1.088,0.2783039848403835,ns,0.01,0.432,0.6661689864980391,ns,0.032,2.97,0.003216442516599929,**,0.006,2.055,0.04078655444013446,*,-0.023,-2.541,0.011715628160499952,*,-0.005,-0.915,0.361527986772611,ns,-0.001,-0.204,0.8383690657991099,ns,0.063,7.383,1.582904617055355e-12,***
san,208,-0.054,-5.222,4.196620080951789e-7,***,0.023,2.358,0.019337585838547968,*,-0.039,-2.752,0.0064455356164181766,**,0.037,5.302,2.2714881189241485e-7,***,0.001,0.924,0.3564010724508381,ns,-0.039,-5.169,6.442838648747131e-7,***,-0.005,-0.558,0.5773138257108583,ns,-0.027,-2.839,0.00488099250795026,**,0.072,8.303,3.031554051240683e-15,***
teiB13L11,346,-0.054,-3.306,0.0010515369402028835,**,0.006,0.376,0.7070401202902512,ns,-0.008,-0.36,0.7191286281471043,ns,0.015,1.522,0.12875311176028614,ns,-0.003,-3.007,0.0028005250273041146,**,-0.035,-4.481,1.0386377465948467e-5,***,-0,-0.184,0.8542783639567673,ns,-0.001,-0.628,0.5307052892727728,ns,0.047,7.339,1.280058787663209e-12,***
R84,129,-0.17,-10.174,1.1299366423787923e-17,***,0.019,1.184,0.23889128897444614,ns,0.025,1.084,0.2807657454004633,ns,0.007,0.396,0.6924409810566952,ns,-0,-0.17,0.8651512196580937,ns,-0.048,-6.425,2.411506722470362e-9,***,-0.011,-5.872,3.460336907902958e-8,***,0.003,1.737,0.084228846199984,ns,0.063,7.459,4.244772131521424e-12,***
suz,162,-0.094,-5.049,1.2054817647924083e-6,***,-0.023,-1.366,0.17378784245558768,ns,-0.014,-0.58,0.5626182460618818,ns,0.034,2.996,0.002991607020484952,**,-0.002,-2.472,0.014075632520804437,*,-0.083,-10.137,3.5647661021763915e-18,***,0.002,0.264,0.7923452751044515,ns,0.011,1.636,0.1035377338269562,ns,0.059,2.638,0.00913732018535893,**
auraL2,182,-0.106,-7.228,1.4798695673239566e-11,***,0.013,0.838,0.40338100158270196,ns,-0.006,-0.282,0.7782994993249592,ns,0.043,5.788,1.8379939477913833e-8,***,0.007,3.156,0.0017834883267158492,**,-0.07,-13.939,3.562693334179705e-32,***,-0.011,-4.525,1.0983130782577601e-5,***,-0.011,-2.71,0.007260546765669393,**,0.028,4.486,1.0410182506075e-5,***
Car5,354,-0.132,-15.782,1.5499256241274738e-42,***,-0.016,-1.884,0.060457994713836394,ns,-0.005,-0.39,0.6966870596469448,ns,0.046,5.942,4.581508342343145e-9,***,0.002,2.051,0.040756724963134434,*,-0.093,-23.784,3.1772507478859686e-79,***,-0.005,-6.789,4.5334997257490186e-11,***,0,0.211,0.8331130549954517,ns,0.104,10.72,1.6700802800959537e-24,***
sech,210,-0.074,-8.425,8.096080380988154e-15,***,0.007,0.821,0.41270585727252895,ns,-0.003,-0.274,0.7842586113715687,ns,0.048,5.3,2.40539568021462e-7,***,0.009,4.399,1.4642829451624421e-05,***,-0.109,-19.994,3.1449473524728387e-55,***,-0.007,-3.849,1.5412589004104498e-4,***,-0.003,-0.714,0.47596385795567187,ns,0.063,3.37,8.390716669409458e-4,***
sim198,238,-0.116,-8.848,2.0527386717877175e-16,***,-0.01,-0.744,0.4577251459120987,ns,-0.002,-0.083,0.9340814950825034,ns,0.045,5.039,9.069639963231514e-7,***,-0.001,-2.648,0.008579138324872943,**,-0.095,-14.014,1.9502680022316134e-32,***,-0.008,-12.821,3.9545878387439007e-29,***,1.951,4.643,5.076843204746522e-6,***,0.087,7.955,6.178180566053725e-14,***
mau31,146,-0.104,-6.606,7.322783957321455e-10,***,0.015,0.992,0.32308656955636716,ns,0.001,0.057,0.9544761172339181,ns,0.017,1.657,0.09923749743027693,ns,-0.006,-2.628,0.00914876012205924,**,-0.114,-23.173,5.251309969898904e-55,***,0.002,1.297,0.19635131335661998,ns,0.002,0.47,0.6389279057398568,ns,0.061,1.324,0.18672770428640478,ns
