Genotype,n,Sex_F_value,Sex_num_df,Sex_den_df,Sex_p.value,Sex_significance,Infected_F_value,Infected_num_df,Infected_den_df,Infected_p.value,Infected_significance,Sex:Infected_F_value,Sex:Infected_num_df,Sex:Infected_den_df,Sex:Infected_p.value,Sex:Infected_significance,aveTempC_F_value,aveTempC_num_df,aveTempC_den_df,aveTempC_p.value,aveTempC_significance,aveLight_Lux_F_value,aveLight_Lux_num_df,aveLight_Lux_den_df,aveLight_Lux_p.value,aveLight_Lux_significance,SMRstart.sec_F_value,SMRstart.sec_num_df,SMRstart.sec_den_df,SMRstart.sec_p.value,SMRstart.sec_significance,aveFRC_mlmin_F_value,aveFRC_mlmin_num_df,aveFRC_mlmin_den_df,aveFRC_mlmin_p.value,aveFRC_mlmin_significance,aveWVppt_F_value,aveWVppt_num_df,aveWVppt_den_df,aveWVppt_p.value,aveWVppt_significance,aveActivity_F_value,aveActivity_num_df,aveActivity_den_df,aveActivity_p.value,aveActivity_significance
CSBerk,460,344.692,1,450.8,0,***,11.352,1,452.4,8e-4,***,0.468,1,452.9,0.4944,ns,0.245,1,788.1,0.6206,ns,5.536,1,791.6,0.0189,*,758.053,1,430.1,0,***,10.561,1,457.3,0.0012,**,38.691,1,518.9,0,***,105.519,1,535.3,0,***
FFD25,342,622.446,1,348.8,0,***,10.718,1,332.5,0.0012,**,0.218,1,332.6,0.6409,ns,35.752,1,482.6,0,***,0.47,1,506.4,0.4934,ns,838.661,1,284.8,0,***,77.444,1,389.5,0,***,2.044,1,484.2,0.1535,ns,48.907,1,430,0,***
PC75,161,81.01,1,156.2,0,***,6.101,1,153.9,0.0146,*,0.311,1,153.8,0.5779,ns,20.395,1,167.8,0,***,0.254,1,204.1,0.6147,ns,229.558,1,168.3,0,***,18.561,1,166.5,0,***,26.065,1,181.5,0,***,86.437,1,196.7,0,***
yakB13L5,164,44.517,1,167.4,0,***,1.184,1,161.9,0.2782,ns,0.187,1,157.4,0.6662,ns,8.731,1,304.6,0.0034,**,4.188,1,283.4,0.0416,*,6.427,1,233.6,0.0119,*,0.837,1,158.6,0.3616,ns,0.042,1,198.2,0.8388,ns,53.998,1,296.8,0,***
san,208,99.85,1,210,0,***,0.298,1,196.1,0.586,ns,7.566,1,196,0.0065,**,27.853,1,285.4,0,***,0.843,1,292.8,0.3594,ns,26.62,1,161.1,0,***,0.311,1,204.4,0.5778,ns,8.006,1,256.3,0.005,**,68.068,1,313.1,0,***
teiB13L11,346,24.324,1,343.6,0,***,0.022,1,340,0.8831,ns,0.13,1,338.2,0.7191,ns,2.304,1,414.4,0.1298,ns,8.99,1,419.2,0.0029,**,20.016,1,322.4,0,***,0.034,1,429.5,0.8544,ns,0.393,1,375.8,0.531,ns,53.59,1,390.8,0,***
R84,129,180.549,1,121.5,0,***,7.553,1,122.8,0.0069,**,1.174,1,122,0.2807,ns,0.155,1,206,0.6944,ns,0.029,1,145,0.8656,ns,41.099,1,133,0,***,34.419,1,134.4,0,***,3.008,1,173.3,0.0846,ns,54.956,1,175.1,0,***
suz,162,65.893,1,155.1,0,***,5.78,1,154.9,0.0174,*,0.337,1,154.1,0.5627,ns,8.858,1,264.3,0.0032,**,6.033,1,266.4,0.0147,*,102.496,1,127.7,0,***,0.069,1,161.6,0.7925,ns,2.664,1,185.7,0.1043,ns,6.899,1,161.8,0.0095,**
auraL2,182,104.829,1,180.2,0,***,0.846,1,175.5,0.3588,ns,0.08,1,175.2,0.7783,ns,33.33,1,294.1,0,***,9.912,1,269.2,0.0018,**,193.945,1,227.1,0,***,20.458,1,183.8,0,***,7.324,1,222.3,0.0073,**,19.987,1,298.3,0,***
Car5,354,523.977,1,347.4,0,***,9.406,1,345.9,0.0023,**,0.152,1,346.2,0.6967,ns,35.105,1,651.9,0,***,4.186,1,558.5,0.0412,*,564.486,1,415.9,0,***,46.058,1,373.6,0,***,0.044,1,392.7,0.8332,ns,114.356,1,559.8,0,***
sech,210,148.565,1,201.4,0,***,0.802,1,201.3,0.3717,ns,0.075,1,202.2,0.7843,ns,27.909,1,275.5,0,***,19.148,1,337.7,0,***,397.176,1,275.5,0,***,14.774,1,235,2e-4,***,0.509,1,237.1,0.4765,ns,11.259,1,336.6,9e-4,***
sim198,238,159.263,1,235.2,0,***,1.305,1,230.8,0.2545,ns,0.007,1,232.4,0.9341,ns,25.256,1,244.8,0,***,6.97,1,259.4,0.0088,**,195.601,1,221.7,0,***,164.309,1,243,0,***,21.453,1,310.5,0,***,62.924,1,248.9,0,***
mau31,146,89.521,1,140.3,0,***,2.071,1,139.5,0.1524,ns,0.003,1,141.5,0.9545,ns,2.735,1,187.2,0.0999,ns,6.848,1,233,0.0095,**,535.908,1,173.8,0,***,1.675,1,191.9,0.1971,ns,0.22,1,173.3,0.6394,ns,1.74,1,229.1,0.1885,ns
