Genotype,n,den_df,Sex_F_value,Sex_num_df,Sex_p.value,Sex_significance,Infected_F_value,Infected_num_df,Infected_p.value,Infected_significance,Sex:Infected_F_value,Sex:Infected_num_df,Sex:Infected_p.value,Sex:Infected_significance
CSBerk,460,456,785.891,1,0,***,22.944,1,0,***,2.997,1,0.0841,ns
FFD25,342,338,643.889,1,0,***,0.863,1,0.3535,ns,0.383,1,0.5363,ns
PC75,161,157,330.157,1,0,***,4.546,1,0.0345,*,0.267,1,0.6059,ns
yakB13L5,164,160,243.071,1,0,***,4.518,1,0.0351,*,0.315,1,0.5753,ns
san,208,204,1056.021,1,0,***,10.607,1,0.0013,**,0.003,1,0.9565,ns
teiB13L11,346,342,393.789,1,0,***,1.283,1,0.2582,ns,2.482,1,0.116,ns
R84,129,125,346.732,1,0,***,46.428,1,0,***,1.781,1,0.1845,ns
suz,162,158,229.655,1,0,***,1.243,1,0.2666,ns,0.128,1,0.7214,ns
auraL2,182,178,355.796,1,0,***,2.243,1,0.136,ns,0.023,1,0.8785,ns
Car5,354,350,628.379,1,0,***,5.026,1,0.0256,*,0.459,1,0.4985,ns
sech,210,206,470.781,1,0,***,4.222,1,0.0412,*,0.434,1,0.5108,ns
sim198,238,234,586.269,1,0,***,5.29,1,0.0223,*,0.398,1,0.5288,ns
mau31,146,142,618.806,1,0,***,4.652,1,0.0327,*,0.504,1,0.4787,ns
