Genotype,n,SexM_estimate,SexM_std.error,SexM_statistic,SexM_p.value,SexM_significance,InfectedI_estimate,InfectedI_std.error,InfectedI_statistic,InfectedI_p.value,InfectedI_significance,SexM:InfectedI_estimate,SexM:InfectedI_std.error,SexM:InfectedI_statistic,SexM:InfectedI_p.value,SexM:InfectedI_significance
CSBerk,460,-0.315,0.017,-18.513,0,***,0.078,0.017,4.652,0,***,-0.041,0.024,-1.731,0.0841,ns
FFD25,342,-0.356,0.019,-18.381,0,***,0.004,0.019,0.219,0.827,ns,0.017,0.027,0.619,0.5363,ns
PC75,161,-0.262,0.02,-13.342,0,***,-0.037,0.02,-1.903,0.0588,ns,0.015,0.028,0.517,0.6059,ns
yakB13L5,164,-0.298,0.026,-11.636,0,***,-0.05,0.026,-1.912,0.0577,ns,0.021,0.037,0.561,0.5753,ns
san,208,-0.338,0.015,-22.799,0,***,0.033,0.015,2.264,0.0246,*,0.001,0.021,0.055,0.9565,ns
teiB13L11,346,-0.264,0.017,-15.311,0,***,-0.033,0.017,-2.003,0.0459,*,0.039,0.025,1.576,0.116,ns
R84,129,-0.356,0.029,-12.083,0,***,0.168,0.029,5.785,0,***,-0.055,0.041,-1.334,0.1845,ns
suz,162,-0.544,0.052,-10.413,0,***,-0.052,0.047,-1.096,0.2746,ns,0.025,0.07,0.357,0.7214,ns
auraL2,182,-0.378,0.028,-13.521,0,***,0.033,0.029,1.149,0.2519,ns,-0.006,0.04,-0.153,0.8785,ns
Car5,354,-0.391,0.022,-18.054,0,***,-0.044,0.022,-2.053,0.0408,*,0.021,0.03,0.678,0.4985,ns
sech,210,-0.216,0.015,-14.812,0,***,0.028,0.015,1.901,0.0587,ns,-0.014,0.021,-0.659,0.5108,ns
sim198,238,-0.272,0.016,-16.668,0,***,0.034,0.016,2.055,0.041,*,-0.015,0.023,-0.631,0.5288,ns
mau31,146,-0.316,0.018,-17.848,0,***,0.018,0.017,1.045,0.298,ns,0.018,0.025,0.71,0.4787,ns
